Fb,Original Material Name,MTC Item Name (ODOO),Keterangan,Penggunaan/bulan,Kontrak 3 bulan,Tanggal List,Qty,Product Category,Reason,URGENCY,Link Refferences,Vendor,Harga (diisi oleh procurement),Nomor PR,Status PR,,Status PA,Status PO,No PO,PO Approved ,ETA Foom,Link GR,,,,,,
30,Xprinter XP420B,,one time purchase,,,13/09/25,1,#N/A,kebutuhan IOT engineer (project pak doni),URGENT,https://tk.tokopedia.com/ZSDJVuCv6/,Shaqueena,-,PR02413,CONTINUE,TE02447,DONE,DONE,P10491,,,https://foomx.odoo.com/web#id=4001&cids=1&model=good.received&view_type=form,TRUE,03/10/2025,,,,
31,Bundle Mouse Keyboard Wireless,,one time purchase,,,13/09/25,1,#N/A,kebutuhan IOT engineer (project pak doni),URGENT,https://tk.tokopedia.com/ZSDYkgmUC/,Shaqueena,-,PR02413,CONTINUE,TE02447,DONE,DONE,P10491,,,https://foomx.odoo.com/web#id=4001&cids=1&model=good.received&view_type=form,TRUE,03/10/2025,,,,
32,Wago Terminal Block,,one time purchase,,,13/09/25,10,#N/A,kebutuhan IOT engineer (project pak doni),URGENT,https://tk.tokopedia.com/ZSDJbyuBx/,Shaqueena,-,PR02413,CONTINUE,TE02447,DONE,DONE,P10491,,,https://foomx.odoo.com/web#id=4079&cids=1&menu_id=822&active_id=10549&model=good.received&view_type=form,TRUE,,,,,
33,Kabel NYAF (Merah),,consumable,,,13/09/25,1,#N/A,kebutuhan IOT engineer (project pak doni),URGENT,https://tk.tokopedia.com/ZSDJbaQED/,Shaqueena,-,PR02413,CONTINUE,TE02447,DONE,DONE,P10491,,,https://foomx.odoo.com/web#id=4079&cids=1&menu_id=822&active_id=10549&model=good.received&view_type=form,TRUE,,,,,
34,Kabel NYAF (Hitam),,consumable,,,13/09/25,1,#N/A,kebutuhan IOT engineer (project pak doni),URGENT,https://tk.tokopedia.com/ZSDJbPHm7/,Shaqueena,-,PR02413,CONTINUE,TE02447,DONE,DONE,P10491,,,https://foomx.odoo.com/web#id=4079&cids=1&menu_id=822&active_id=10549&model=good.received&view_type=form,TRUE,,,,,
35,Kabel NYAF (Biru),,consumable,,,13/09/25,1,#N/A,kebutuhan IOT engineer (project pak doni),URGENT,https://tk.tokopedia.com/ZSDJbCwvB/,Shaqueena,-,PR02413,CONTINUE,TE02447,DONE,DONE,P10491,,,https://foomx.odoo.com/web#id=4079&cids=1&menu_id=822&active_id=10549&model=good.received&view_type=form,TRUE,,,,,
36,Kabel Power 220V,,one time purchase,,,13/09/25,1,#N/A,kebutuhan IOT engineer (project pak doni),URGENT,https://tk.tokopedia.com/ZSDNaEQA1/,Shaqueena,-,PR02413,CONTINUE,TE02447,DONE,DONE,P10491,,,https://foomx.odoo.com/web#id=4079&cids=1&menu_id=822&active_id=10549&model=good.received&view_type=form,TRUE,,,,,
37,THERMAL OVERLOAD RELAY SCHNEIDER - LRD12,Overload LRD 12,one time purchase,,,15/09/25,3,Sparepart,Electrical Part (repeat order),,https://tk.tokopedia.com/ZSDCDcrhj/,Shaqueena,"358,150",PR02409,CONTINUE,TE02380,DONE,DONE,P10280,,,https://foomx.odoo.com/web#id=3901&cids=1&menu_id=822&active_id=10282&model=good.received&view_type=form,TRUE,22/09/2025,,,,
38,Schneider Inverter Altivar ATV320 0.37kW 1P - ATV320U04M2CSchneider Inverter Altivar ATV320 0.37kW 1P - ATV320U04M2C,Schneider Inverter Altivar ATV320 0.37kW 1P,one time purchase,,,15/09/25,2,Sparepart,Electrical Part ,,https://tk.tokopedia.com/ZSDreMRaQ/,,"3,100,000",PR02449,CONTINUE,TE02417,DONE,DONE,P10409,,,https://foomx.odoo.com/web#id=3969&cids=1&menu_id=822&active_id=10411&model=good.received&view_type=form,TRUE,02/10/2025,,,,
39,Acrylic Putih Kapur 5mm x 100 x 100 cm Akrilik Marga Cipta,Acryclic ,one time purchase,,,17/09/25,1,Sparepart,untuk sekali pembelian,,https://tk.tokopedia.com/ZSDCDxxge/,Hutama Sinergi karya,"635,550",PR02417,CONTINUE,TE02385,DONE,DONE,P10487,,,https://foomx.odoo.com/web#id=3999&cids=1&menu_id=822&active_id=10489&model=good.received&view_type=form,TRUE,06/10/2025,,,,
40,Jual EE-SX670-WR 1M eesx670wr Omron,Sensor Omron EE-SX670-WR (Capping),one time purchase,,,17/09/25,2,Sparepart,Kebutuhan electrical (Sensor),URGENT,https://tk.tokopedia.com/ZSDSr9MLR/,,"131,250",PR02448,CONTINUE,TE02415,DONE,DONE,P10408,,,https://foomx.odoo.com/web#id=3970&menu_id=822&cids=1&active_id=10410&model=good.received&view_type=form,TRUE,04/10/2025,,,,
41,"CKE Fan Official - Wall Exhaust Fan 16"" Inch Kipas Exhaust Fan Dinding Industrial 16 InchA",,,,,18/09/25,2,#N/A,Untuk Utility (Pemasangan di G5),,https://tk.tokopedia.com/ZSDDhBDc4/,,"895,661",PR02634,BIDDING,,DONE,ONGOING,,,,https://foomx.odoo.com/web#id=4266&cids=1&menu_id=822&active_id=10856&model=good.received&view_type=form,TRUE,01/11/2025,,,,
42,Cylinder KPF-02 ,Cylinder KPF -  02,consumable,,,19/09/25,3,Sparepart,Kebutuhan Pneumatic ,,PT. KARYA MANDIRI MACHINERY,,"1,035,000",PR02447,CONTINUE,TE02409,DONE,DONE,P10406,,,https://foomx.odoo.com/web#id=3972&cids=1&menu_id=822&active_id=10408&model=good.received&view_type=form,TRUE,02/10/2025,,,,
43,Pelumas Grease Food Grade Mesin Makanan Lubricant Vaseline - Evexx - Bottle 400 Gram,,consumable,,,19/09/25,1,#N/A,Untuk kebutuhan pelumas mesin,,https://tk.tokopedia.com/ZSDyCtN1t/,,"373,950",PR02635,CONTINUE,TE02646,DONE,DONE,P10862,,,https://foomx.odoo.com/web#id=4271&cids=1&menu_id=822&active_id=10864&model=good.received&view_type=form,TRUE,30/10/2025,,,,
44,Isolasi Listrik Hitam Nitto,Insulation Tape,consumable,,,20/09/25,10,Sparepart,Untuk kebutuhan stock,,https://tk.tokopedia.com/ZSxPNRV8e/,,Sudah ganti toko,,BIDDING,,DONE,ONGOING,,,,,FALSE,,,,,
